,id,t.stat,p.value,ci.lo,ci.hi,estimate,se
0,1.0,1.9420702566397618,0.056153239048164424,-0.0037508585458242904,0.2819585454663699,0.13910384346027282,0.07162657632219505
1,2.0,0.0844136846487473,0.9329684832187934,-0.11528113217941134,0.12547085550903997,0.005094861664814321,0.0603558734109817
2,3.0,0.7111347134988119,0.4793637504783156,-0.15568824630718775,0.32823575589159004,0.08627375479220112,0.12131844101342025
3,4.0,1.8617083612400769,0.06684254875102567,-0.009938299124614637,0.28873568857888243,0.1393986947271339,0.07487676245611367
4,5.0,-0.2356507242428236,0.814391793620976,-0.1472400653137259,0.11612270081497422,-0.015558682249375844,0.06602433452885796
5,6.0,0.7318049842748081,0.46673059415056584,-0.0491321813340387,0.10608491428854902,0.028476366477255155,0.03891250686885413
6,7.0,-1.1057438671416144,0.27262328125204377,-0.6218711792992367,0.17826466255749562,-0.22180325837087056,0.2005918956116298
7,8.0,-1.154029939085061,0.25241278119043714,-0.15000519591933156,0.040040261039577765,-0.05498246743987689,0.04764388303779028
8,9.0,1.217184507645211,0.22762166965601605,-0.0688244103796712,0.2843836908947983,0.10777964025756354,0.08854831751521068
9,10.0,0.5067035121613502,0.6139552735489369,-0.2688443505474397,0.4519744172244984,0.09156503333852936,0.1807073192525498
10,11.0,-0.8289248261824035,0.4099645817113823,-0.44059634482455384,0.18188261518136623,-0.1293568648215938,0.1560537949108657
11,12.0,-1.4107986007514401,0.16273281437691692,-0.1527825508484361,0.026186081673894513,-0.0632982345872708,0.044866953053083525
12,13.0,-0.13453691743254118,0.893364106484415,-0.1606956963140374,0.1403859101633323,-0.010154893075352556,0.07548034598343144
13,14.0,-0.9194352318297142,0.36102551660827453,-0.23343738307963585,0.08612100877045044,-0.07365818715459271,0.08011242619886326
14,15.0,0.8762301870782968,0.3839019602750401,-0.1494299284876518,0.3836173785963021,0.11709372505432515,0.13363352094129813
15,16.0,-0.9453114911216193,0.3477515335733987,-0.3355990773261693,0.1197672447034335,-0.1079159163113679,0.1141591076855787
16,17.0,-1.6037232157291128,0.113277977641106,-0.3005136669659247,0.03263191602018373,-0.13394087547287048,0.08351869833846355
17,18.0,-0.4511644299744911,0.6532656389650425,-0.16991704543340586,0.1072244721443068,-0.031346286644549526,0.06947863032181383
18,19.0,0.9796985554681529,0.3306088395355611,-0.12589252449085797,0.3689831681287259,0.12154532181893396,0.1240640002381682
19,20.0,-1.9632163712392412,0.05359498503830318,-0.41526646122235666,0.0032759124802357025,-0.20599527437106047,0.10492744324510195
20,21.0,0.8833217894052638,0.3800860814030933,-0.11024942328689727,0.28554305104700217,0.08764681388005244,0.09922410488601736
21,22.0,1.8635981635069487,0.06657278145403579,-0.008221201647245192,0.24241776918132077,0.11709828376703779,0.06283451339460454
22,23.0,0.39883628283485795,0.6912279239418019,-0.09383187882505399,0.14074029988289832,0.02345421052892216,0.05880661198177299
23,24.0,-0.395666986068991,0.6935540520965529,-0.2478927763550555,0.16581853718086043,-0.04103711958709755,0.10371630950261304
24,25.0,1.912347343493058,0.05992418133041106,-0.011479102059018633,0.546308978880558,0.2674149384107697,0.13983596615995217
25,26.0,1.793711171098179,0.07717817058912199,-0.011632988872479167,0.21954056697489138,0.10395378905120611,0.057954586405102
26,27.0,-1.0442416870476405,0.29996640233355865,-0.18106705332935422,0.05661970120323487,-0.062223676063059674,0.05958742773330873
27,28.0,-1.3481065290509093,0.18197047977364866,-0.28653243617816904,0.05540531294237584,-0.1155635616178966,0.08572287065418738
28,29.0,-0.1766400874837035,0.8603011771128465,-0.13679342891564872,0.11453424507902722,-0.011129591918310755,0.06300716941921551
29,30.0,1.9709208537267664,0.05268793310162297,-0.0013237749921147565,0.22321755866065007,0.11094689183426765,0.05629190620439216
30,31.0,-0.36250454315971326,0.7180672366991778,-0.11218151567749805,0.07767382304407316,-0.01725384631671245,0.0475962209089079
31,32.0,0.8049852027406474,0.42355402511602114,-0.08117190208189104,0.19104129580541213,0.05493469686176056,0.0682431138792741
32,33.0,1.0453074118089243,0.2994772148896025,-0.08527068730401259,0.2730934505206089,0.09391138160829815,0.08984092195977328
33,34.0,2.280592477818596,0.025620462139390416,0.022371308281063082,0.3342170590067996,0.17829418364393135,0.07817888788902394
34,35.0,2.137907146101017,0.03601752661180014,0.014713488674725186,0.42379024109305824,0.2192518648838917,0.10255443754128879
35,36.0,2.48301917669713,0.015426692585973836,0.09116831916471305,0.835483316431199,0.463325817797956,0.1865977605594912
36,37.0,0.1216758665023686,0.9035043502294415,-0.19987278896334557,0.22584480739206872,0.012986009214361577,0.10672625219487371
37,38.0,-0.2589882625580075,0.7964043824853011,-0.17985847712698239,0.13851587485748168,-0.020671301134750353,0.07981559060083061
38,39.0,-0.2990037193232043,0.7658231169410528,-0.7242976354052272,0.535439319160964,-0.0944291581221316,0.31581265388896246
39,40.0,-0.8818411919031993,0.38088079448803136,-1.0543689220301276,0.40784876734206627,-0.3232600773440306,0.36657402751437274
40,41.0,-0.48953512016575473,0.6259934973496818,-0.9379138882325843,0.5682303772192258,-0.18484175550667925,0.3775863015591048
41,42.0,1.4966975807378384,0.13896749284718188,-0.0559724246506908,0.3925894194423188,0.168308497395814,0.11245324343535162
42,43.0,0.8888524901901953,0.3771266867394819,-0.11686334539909023,0.3047716674620321,0.09395416103147092,0.10570275953366205
43,44.0,1.4102726281178952,0.16288743016690807,-0.03146943900831926,0.18341461779806092,0.07597258939487084,0.053870852968522426
44,45.0,1.3093297441287188,0.1947042369156961,-0.04957484932271496,0.23906288534338221,0.09474401801033361,0.07236070091219086
45,46.0,0.9132109867385945,0.3642662556354742,-0.1613319038539358,0.4338559646398843,0.13626203039297424,0.14921199194023613
46,47.0,0.6552849774894036,0.5144320760477005,-0.0716044495426329,0.14168061027974033,0.035038080368553715,0.05346998874107457
47,48.0,3.304723061417428,0.001501085031457368,0.0899698337440008,0.36386298723063437,0.2269164104873176,0.06866427421303826
48,49.0,3.1640452193701867,0.0023026604758705446,0.14780675533763815,0.6518923140826506,0.39984953471014434,0.12637288881406558
49,50.0,2.623397537118256,0.010677611789436218,0.07259109524865792,0.5329646529908625,0.3027778741197602,0.11541440816185068
50,51.0,-2.0024910900741513,0.0491068246222606,-0.9421540246133571,-0.001898479954877337,-0.4720262522841172,0.23571952685524225
51,52.0,-1.7296103907070892,0.08810741415741062,-0.4181476135237056,0.029735566298917306,-0.19420602361239414,0.1122831041347988
52,53.0,-0.9843636631863698,0.3283269459152677,-0.4901419258106745,0.16620089180238828,-0.1619705170041431,0.1645433725985446
